Año: 2020 | Número de personas: 3 | Velocidad: 38.8 | Velocidad inicial: 42.3 | Velocidad máximo: 75.2 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 45.3 | desvío (%): 22.3 | cambio de velocidad (%): 7.9 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:11 | Hora de llegar a la Unimet: 07:27 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 43.4 | Velocidad máximo: 77.1 | Velocidad promedio: 38.8 | Ubicación: Municipo Chacao | Tipo de vía: urbana | Zona donde vive: Municipo Chacao | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 21.9 | desvío (%): 18.8 | cambio de velocidad (%): 5.2 | Demora estimada (min): 25.7 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 08:10 | Hora de llegar a la Unimet: 08:26 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m., de 4 a 6 p.m.
Año: 2020 | Número de personas: 2 | Velocidad: 36.2 | Velocidad inicial: 33.5 | Velocidad máximo: 59.6 | Velocidad promedio: 36.2 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 35.4 | desvío (%): 8.3 | cambio de velocidad (%): 4.2 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:42 | Hora de llegar a la Unimet: 07:59 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 37.1 | Velocidad inicial: 34.4 | Velocidad máximo: 61.2 | Velocidad promedio: 37.1 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Lento | reacción a situación externa (%): 47.3 | desvío (%): 12.4 | cambio de velocidad (%): 2.7 | Demora estimada (min): 46.5 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 08:30 | Hora de llegar a la Unimet: 08:46 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 12 a 2 p.m., de 4 a 6 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 27.6 | Velocidad inicial: 25.5 | Velocidad máximo: 45.3 | Velocidad promedio: 27.6 | Ubicación: Municipio Libertador | Tipo de vía: urbana | Zona donde vive: Municipio Libertador | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Lento | reacción a situación externa (%): 21.7 | desvío (%): 14.8 | cambio de velocidad (%): 0.7 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:17 | Hora de llegar a la Unimet: 07:38 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 63.9 | Velocidad máximo: 113.6 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 23.6 | desvío (%): 23.3 | cambio de velocidad (%): 6.3 | Demora estimada (min): 2.4 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 07:47 | Hora de llegar a la Unimet: 08:02 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 35.9 | Velocidad inicial: 33.3 | Velocidad máximo: 59.2 | Velocidad promedio: 35.9 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 54.5 | desvío (%): 27.1 | cambio de velocidad (%): 8.6 | Demora estimada (min): 9.0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 07:52 | Hora de llegar a la Unimet: 08:09 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m.
Año: 2020 | Número de personas: 2 | Velocidad: 38.8 | Velocidad inicial: 41.4 | Velocidad máximo: 73.6 | Velocidad promedio: 38.8 | Ubicación: Municipio Libertador | Tipo de vía: urbana | Zona donde vive: Municipio Libertador | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 50.4 | desvío (%): 21.5 | cambio de velocidad (%): 8.4 | Demora estimada (min): 0 | Tipo de Carro: Te traen en carro (Papás) | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:07 | Hora de llegar a la Unimet: 07:22 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 42.4 | Velocidad máximo: 75.4 | Velocidad promedio: 38.8 | Ubicación: Terrazas del Ávila | Tipo de vía: urbana | Zona donde vive: Terrazas del Ávila | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 62.1 | desvío (%): 11.2 | cambio de velocidad (%): 6.5 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:15 | Hora de llegar a la Unimet: 07:31 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 6 a 8 a.m., de 12 a 2 p.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 37.5 | Velocidad máximo: 66.6 | Velocidad promedio: 38.8 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Lento | reacción a situación externa (%): 51.1 | desvío (%): 14.7 | cambio de velocidad (%): 6.5 | Demora estimada (min): 0 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:04 | Hora de llegar a la Unimet: 07:20 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 12 a 2 p.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 40.3 | Velocidad máximo: 71.7 | Velocidad promedio: 38.8 | Ubicación: Municipio Libertador | Tipo de vía: urbana | Zona donde vive: Municipio Libertador | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 46.7 | desvío (%): 22.3 | cambio de velocidad (%): 7.0 | Demora estimada (min): 0 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:27 | Hora de llegar a la Unimet: 07:42 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 40.5 | Velocidad máximo: 72.0 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 36.2 | desvío (%): 1 | cambio de velocidad (%): 4.9 | Demora estimada (min): 47.7 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 08:32 | Hora de llegar a la Unimet: 08:48 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 36.9 | Velocidad máximo: 65.6 | Velocidad promedio: 38.8 | Ubicación: Terrazas del Ávila | Tipo de vía: urbana | Zona donde vive: Terrazas del Ávila | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 64.0 | desvío (%): 8.1 | cambio de velocidad (%): 2.0 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:37 | Hora de llegar a la Unimet: 07:52 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 33.3 | Velocidad inicial: 30.9 | Velocidad máximo: 54.9 | Velocidad promedio: 33.3 | Ubicación: Municipio Libertador | Tipo de vía: urbana | Zona donde vive: Municipio Libertador | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Lento | reacción a situación externa (%): 60.0 | desvío (%): 20.6 | cambio de velocidad (%): 3.6 | Demora estimada (min): 0 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 06:51 | Hora de llegar a la Unimet: 07:09 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 6 a 8 a.m., de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 55.0 | Velocidad inicial: 51.4 | Velocidad máximo: 91.3 | Velocidad promedio: 55.0 | Ubicación: La Guaira | Tipo de vía: autopista | Zona donde vive: La Guaira | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Prudente | reacción a situación externa (%): 55.5 | desvío (%): 15.2 | cambio de velocidad (%): 5.6 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:05 | Hora de llegar a la Unimet: 07:16 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 10 a 12 a.m., de 12 a 2 p.m., de 2 a 4 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 27.3 | Velocidad inicial: 25.2 | Velocidad máximo: 44.8 | Velocidad promedio: 27.3 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Lento | reacción a situación externa (%): 63.9 | desvío (%): 31.4 | cambio de velocidad (%): 2.7 | Demora estimada (min): 0 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 06:49 | Hora de llegar a la Unimet: 07:10 | Colegio Integral el Ávila: No | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 30.7 | Velocidad inicial: 28.3 | Velocidad máximo: 50.4 | Velocidad promedio: 30.7 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Distribuidor Metropolitano (Autopista) | Estilo de manejo: Lento | reacción a situación externa (%): 43.8 | desvío (%): 14.6 | cambio de velocidad (%): 4.6 | Demora estimada (min): 0 | Tipo de Carro: Carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:40 | Hora de llegar a la Unimet: 08:00 | Colegio Integral el Ávila: nan | tráfico estimado por los encuestados: de 8 a 10 a.m.
Año: 2020 | Número de personas: 1 | Velocidad: 38.8 | Velocidad inicial: 40.1 | Velocidad máximo: 71.4 | Velocidad promedio: 38.8 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 44.2 | desvío (%): 25.9 | cambio de velocidad (%): 7.4 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:29 | Hora de llegar a la Unimet: 07:45 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 2 a 4 p.m.
Año: 2020 | Número de personas: 13 | Velocidad: 30.3 | Velocidad inicial: 31.2 | Velocidad máximo: 55.5 | Velocidad promedio: 30.3 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 58.8 | desvío (%): 29.7 | cambio de velocidad (%): 6.3 | Demora estimada (min): 0 | Tipo de Carro: WAWA | carro/moto/wawa/taxi: wawa | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:13 | Hora de llegar a la Unimet: 07:32 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m.
Año: 2020 | Número de personas: 2 | Velocidad: 31.4 | Velocidad inicial: 29.0 | Velocidad máximo: 51.6 | Velocidad promedio: 31.4 | Ubicación: La Urbina/El Marquez | Tipo de vía: urbana | Zona donde vive: La Urbina/El Marquez | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 55.8 | desvío (%): 35.5 | cambio de velocidad (%): 5.5 | Demora estimada (min): 0 | Tipo de Carro: Ridery/Yummy/Taxi | carro/moto/wawa/taxi: taxi | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 06:25 | Hora de llegar a la Unimet: 06:45 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 6 a 8 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 1 | Velocidad: 28.1 | Velocidad inicial: 25.9 | Velocidad máximo: 46.1 | Velocidad promedio: 28.1 | Ubicación: Resto del Municipio Sucre | Tipo de vía: urbana | Zona donde vive: Resto del Municipio Sucre | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Lento | reacción a situación externa (%): 54.2 | desvío (%): 16.3 | cambio de velocidad (%): 8.7 | Demora estimada (min): 0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: No | Hora de salir de la casa: 07:25 | Hora de llegar a la Unimet: 07:46 | Colegio Integral el Ávila: No | tráfico estimado por los encuestados: de 8 a 10 a.m.
Año: 2020 | Número de personas: 1 | Velocidad: 26.4 | Velocidad inicial: 24.3 | Velocidad máximo: 43.1 | Velocidad promedio: 26.4 | Ubicación: Municipio Baruta / El Hatillo | Tipo de vía: urbana | Zona donde vive: Municipio Baruta / El Hatillo | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Lento | reacción a situación externa (%): 69.8 | desvío (%): 17.2 | cambio de velocidad (%): 1.3 | Demora estimada (min): 27.0 | Tipo de Carro: carro propio | carro/moto/wawa/taxi: carro | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: Sí | Viene acompañado: No | Hora de salir de la casa: 08:04 | Hora de llegar a la Unimet: 08:27 | Colegio Integral el Ávila: Sí | tráfico estimado por los encuestados: de 8 a 10 a.m., de 10 a 12 a.m., de 12 a 2 p.m.
Año: 2020 | Número de personas: 2 | Velocidad: 36.5 | Velocidad inicial: 33.9 | Velocidad máximo: 60.2 | Velocidad promedio: 36.5 | Ubicación: La Urbina/El Marquez | Tipo de vía: urbana | Zona donde vive: La Urbina/El Marquez | Entrada preferida: Acceso Universidad Metropolitana (Terrazas del Ávila) | Estilo de manejo: Prudente | reacción a situación externa (%): 53.0 | desvío (%): 26.0 | cambio de velocidad (%): 3.5 | Demora estimada (min): 0 | Tipo de Carro: Ridery/Yummy/Taxi | carro/moto/wawa/taxi: taxi | Sincrónico/automático: Automático | buenas/malas condiciones: Buena | Retraso: No | Viene acompañado: Sí | Hora de salir de la casa: 07:06 | Hora de llegar a la Unimet: 07:22 | Colegio Integral el Ávila: No | tráfico estimado por los encuestados: de 10 a 12 a.m., de 12 a 2 p.m., de 4 a 6 p.m.
